C1_total,C2_total,C3_total,total,grade,sex,C1_1ai,C1_1aii,C1_1bi,C1_1bii,C1_1biii,C1_1biv,C1_1ci,C1_1cii,C1_1di,C1_1dii,C1_1e,C1_1eSPaG,C1_2ai,C1_2aii,C1_2bi,C1_2bii,C1_2biii,C1_2biv,C1_2bv,C1_2c,C1_2d,C1_3ai,C1_3aii,C1_3aiii,C1_3bi,C1_3bii,C1_3ci,C1_3cii,C1_3d,C2_Aa,C2_Ab,C2_Ac,C2_Adi,C2_Adii,C2_Aei,C2_Aeii,C2_Aeiii,C2_Aeiv,C2_Af,C2_Ag,C2_Bai,C2_Baii,C2_Bb,C2_Bc,C2_Bd,C2_Be,C2_Bf,C2_C,C2_CSPaG,C3_1ai,C3_1aii,C3_1bi,C3_1bii,C3_1biii,C3_1c,C3_2ai,C3_2aii,C3_2b,C3_2ci,C3_2cii,C3_2ciii,C3_2d,C3_3ai,C3_3aii,C3_3aiii,C3_3b,C3_3ci,C3_3cii,C3_3di,C3_3dii,C3_3e,C3_3f,C3_3fSPaG
50,39,47,136,4,M,1,3,1,1,1,1,1,3,1,1,5,3,4,3,1,2,2,2,0,0,3,2,0,,1,2,3,1,2,2,2,2,4,2,1,3,1,0,1,3,1,1,0,1,2,2,1,7,3,0,2,1,2,2,3,2,1,0,1,1,1,2,3,2,2,1,2,2,0,3,1,9,4
61,47,50,158,6,M,1,3,1,1,1,1,4,6,2,1,4,3,1,3,1,2,2,2,0,0,3,4,1,2,1,1,3,3,4,2,2,3,4,2,1,3,1,1,1,4,1,1,2,1,3,1,1,9,4,0,2,2,1,2,4,2,2,1,0,1,2,3,3,2,3,1,2,2,1,4,0,7,3
58,42,45,145,5,M,1,2,1,0,2,1,2,3,0,2,2,2,2,4,1,2,3,2,2,4,3,4,2,2,1,1,3,2,2,4,1,3,4,0,1,2,2,1,1,3,1,1,2,1,3,3,2,5,2,1,2,2,2,2,2,2,0,2,1,1,2,1,2,2,3,1,2,2,0,3,1,6,3
47,32,36,115,3,M,1,3,1,0,2,0,,2,0,1,4,3,2,3,1,1,3,0,1,3,3,2,1,1,1,2,2,1,3,0,1,2,4,1,1,2,0,1,1,3,1,1,1,0,3,0,1,6,3,0,2,2,0,0,2,0,1,2,1,1,2,1,3,2,1,0,2,2,0,2,1,6,3
79,61,62,202,9,M,1,2,1,1,1,0,1,5,2,2,4,3,4,4,1,2,3,2,2,5,4,4,2,4,1,4,3,5,6,3,1,3,3,1,1,3,2,1,3,6,1,1,4,2,5,3,3,11,4,2,2,2,2,4,0,2,1,2,1,1,2,3,3,2,4,1,2,2,1,6,2,11,4
61,42,34,137,4,F,1,3,1,1,2,1,2,3,1,2,5,3,4,2,1,2,2,2,2,4,0,2,0,2,1,3,3,4,2,3,1,2,3,2,1,1,2,2,1,5,1,1,3,1,3,0,2,5,3,0,2,2,0,0,0,0,1,2,,1,2,2,3,2,2,1,2,2,,3,0,5,2
62,49,59,170,7,F,1,3,1,1,1,0,0,5,1,0,5,3,4,3,1,2,2,2,0,4,6,3,0,2,1,3,3,2,3,3,1,3,4,3,1,1,0,1,1,4,1,1,2,1,3,3,1,11,4,0,2,2,2,4,3,2,3,2,1,1,3,0,3,2,4,1,2,2,1,4,2,9,4
37,32,28,97,3,M,1,3,1,0,1,0,1,2,0,0,3,2,4,2,1,0,2,0,0,1,2,1,1,0,1,2,2,1,3,1,0,2,4,2,1,1,0,1,2,2,1,1,2,1,1,1,2,4,3,0,1,2,0,,,2,0,2,0,1,0,,2,2,4,1,0,2,,3,0,4,2
63,49,55,167,7,M,1,3,1,1,0,0,0,4,2,2,3,3,4,4,1,2,3,2,2,3,6,4,0,1,1,1,3,2,4,3,4,2,2,1,1,0,1,0,1,3,1,1,3,2,4,4,1,11,4,1,2,2,2,2,3,1,2,2,1,1,2,2,3,2,3,1,2,2,1,5,0,9,4
41,40,36,117,3,M,1,0,1,1,0,0,0,2,0,2,6,4,4,2,1,2,2,1,0,0,3,1,1,1,1,0,1,1,3,4,2,2,1,1,1,1,0,1,1,4,1,0,3,2,3,2,1,7,3,0,2,1,0,1,2,2,1,1,0,1,2,2,3,1,4,0,,2,0,2,1,6,2
35,27,21,83,2,F,1,3,1,0,0,,,2,1,0,2,3,2,3,,1,2,0,0,1,2,2,1,0,1,0,3,2,2,1,0,2,2,0,1,,2,1,1,2,1,0,1,1,2,0,0,7,3,0,1,2,0,0,0,2,1,,1,1,1,0,1,2,1,0,,0,0,1,0,4,3
23,28,1,52,1,M,1,3,1,0,2,0,,1,0,,5,3,2,3,,0,2,0,,,,,,,,,,,,4,1,2,4,2,1,1,0,0,1,1,0,1,1,2,1,2,0,2,2,,,0,0,,,1,,,,,,,,,0,,,,,,,,
49,32,27,108,3,F,1,3,1,1,0,1,,1,,,7,3,2,1,1,2,3,2,0,0,1,4,2,3,1,1,3,2,3,2,2,3,3,,1,1,1,,1,3,1,0,1,,3,,2,6,2,0,1,2,,,,2,,1,1,1,,,3,2,3,0,2,1,,,0,5,3
46,39,37,122,3,F,1,3,1,1,1,0,0,2,0,1,5,3,2,3,,2,2,0,0,2,4,1,1,0,1,1,3,3,3,5,1,2,2,2,0,1,1,0,1,4,1,0,0,0,4,1,0,10,4,1,2,2,1,0,0,2,0,1,1,1,1,4,2,2,3,1,2,2,0,1,1,4,3
70,44,49,163,6,F,1,3,1,1,1,1,0,3,2,2,4,3,4,4,1,2,2,2,1,6,5,4,0,2,1,2,3,4,5,1,0,4,3,1,1,3,0,2,3,5,1,0,2,2,4,1,3,6,2,1,2,2,0,3,2,2,2,2,1,1,2,1,3,2,4,1,2,2,0,5,3,3,3
74,45,44,163,6,M,1,3,1,1,1,1,1,4,2,2,6,4,4,4,1,2,3,2,1,4,5,4,2,2,1,2,3,4,3,3,1,3,4,2,1,3,0,0,1,4,1,1,4,0,3,1,1,9,3,1,2,2,1,1,2,2,0,2,1,1,1,0,3,2,4,1,2,2,1,2,0,8,3
44,27,24,95,3,M,1,1,1,1,1,0,,1,3,2,2,2,2,1,1,0,2,2,0,3,4,2,1,0,1,2,3,3,2,3,2,2,3,0,1,1,0,0,0,3,1,1,0,0,1,0,0,6,3,0,2,2,0,2,,2,1,1,1,1,0,0,2,2,0,0,,0,1,3,0,2,2
69,43,38,150,5,M,1,3,1,1,2,1,4,4,2,1,4,2,4,4,1,2,3,2,2,3,3,4,2,3,1,1,2,3,3,4,1,2,4,2,1,3,1,0,0,4,1,0,3,0,3,3,2,6,3,0,2,2,0,2,3,2,1,1,1,1,0,,3,2,4,1,,2,0,1,1,5,4
83,47,59,189,8,F,1,3,1,1,1,1,4,6,3,2,7,4,4,2,1,2,3,2,,,7,4,2,3,1,4,3,5,6,2,4,4,4,2,1,3,0,0,1,3,1,0,1,1,1,4,1,10,4,0,2,2,1,4,4,1,4,2,1,1,3,2,3,2,4,1,2,2,0,4,2,9,3
55,50,35,140,5,M,1,3,1,1,2,0,,3,0,1,4,3,2,3,1,2,3,2,2,3,4,3,0,1,1,,1,4,4,4,0,4,4,2,1,3,2,1,3,2,1,1,0,2,2,2,1,11,4,0,2,2,1,0,1,2,0,2,1,1,1,0,3,2,2,1,2,2,0,1,0,5,4
56,40,49,145,5,F,1,2,1,0,1,1,0,1,2,2,4,2,4,4,1,0,2,0,1,4,2,2,2,0,1,2,3,6,5,0,2,3,2,2,1,1,0,0,2,4,1,1,0,1,5,3,1,9,2,0,2,2,0,3,2,1,2,1,1,1,1,3,3,2,4,0,1,2,0,4,0,10,4
65,52,52,169,7,F,1,3,1,1,2,1,,3,1,2,4,3,4,2,1,,3,2,2,0,4,3,2,2,1,3,3,5,6,1,4,4,3,3,1,3,2,0,1,5,1,1,0,2,5,4,1,7,4,2,2,2,0,1,2,1,4,2,1,1,2,4,2,2,4,1,2,2,1,4,1,6,3
36,31,35,102,3,F,1,2,1,1,2,0,,3,2,2,2,2,0,3,1,2,2,0,,1,,1,0,1,1,2,2,2,,2,4,2,4,1,1,0,0,0,2,,1,0,1,1,1,1,0,7,3,0,2,2,2,,0,2,0,2,1,1,2,,2,2,3,1,0,2,1,2,0,6,2
46,46,41,133,4,F,1,3,1,0,0,1,1,4,1,0,4,3,2,3,1,0,2,0,0,0,3,4,0,1,1,3,1,2,4,3,1,3,4,1,1,3,1,0,2,5,1,1,0,1,2,0,2,11,4,1,2,2,0,2,1,2,0,2,1,1,2,3,3,2,3,1,,2,0,2,1,5,3
68,56,54,178,7,M,1,3,1,1,2,1,0,5,2,2,5,3,4,4,1,2,2,2,0,2,4,4,0,4,1,0,3,4,5,3,2,4,4,3,1,1,1,1,1,4,1,2,1,2,4,2,3,12,4,1,2,2,1,3,4,2,2,1,1,0,0,2,3,2,4,1,2,1,0,4,2,10,4
68,53,49,170,7,F,1,3,1,1,2,1,4,4,2,1,6,3,4,4,0,2,3,0,0,3,3,4,1,2,1,1,2,5,4,3,1,4,4,2,1,2,1,0,2,3,1,1,0,2,5,4,3,10,4,1,2,2,1,1,2,2,2,2,1,1,1,2,3,2,1,1,2,2,0,4,1,9,4
32,26,26,84,2,M,1,1,1,1,1,1,0,2,2,1,3,3,0,3,1,0,2,0,2,0,1,1,0,0,1,1,0,1,2,2,1,2,2,1,1,0,1,0,0,2,1,1,0,0,2,1,0,6,3,0,2,0,1,0,,2,1,1,1,1,1,,2,2,3,1,2,0,0,1,0,3,2
44,36,36,116,3,M,1,3,1,1,2,1,2,2,2,2,2,3,1,3,1,0,3,0,0,0,1,2,2,4,1,1,1,0,2,3,1,2,4,0,1,1,0,1,1,4,1,1,0,0,2,2,1,8,3,0,2,2,0,2,2,2,1,2,1,1,2,,2,2,2,1,2,2,1,2,0,3,2
59,38,37,134,4,F,1,3,1,1,0,1,2,2,1,2,2,2,1,3,1,2,3,0,2,6,3,2,1,4,1,0,3,5,4,2,1,4,4,2,1,3,2,0,1,4,1,1,0,2,2,2,1,3,2,0,1,2,1,0,1,2,1,2,1,1,1,1,3,2,2,1,2,0,0,1,1,7,4
44,37,25,106,3,M,1,2,1,1,0,1,0,2,0,2,5,2,2,2,1,2,3,0,0,1,3,2,0,1,0,1,3,3,3,3,2,2,3,2,1,1,0,1,1,1,1,1,1,0,2,4,0,8,3,0,2,2,0,1,0,2,0,0,0,1,1,1,2,2,2,1,,2,0,0,0,3,3
61,51,44,156,6,M,1,3,1,1,1,1,,2,2,2,3,3,4,3,1,2,3,2,1,4,4,4,1,1,1,1,3,3,3,4,2,4,4,1,1,3,2,0,3,3,1,1,2,0,3,2,2,10,3,0,2,2,0,,3,2,2,2,1,1,1,2,2,2,4,1,2,2,1,,3,5,4
61,46,39,146,5,F,1,3,1,1,2,1,3,4,1,2,4,2,4,4,1,2,2,0,0,3,3,3,1,1,1,1,3,2,5,2,3,4,4,1,1,2,2,1,3,4,1,0,3,1,2,4,1,4,3,1,2,2,0,1,0,2,0,1,1,1,3,1,1,2,4,1,2,0,1,3,1,6,3
47,39,42,128,4,F,1,3,1,0,2,0,0,4,2,0,3,3,2,4,1,2,2,0,0,0,2,3,1,,1,1,3,4,2,3,0,3,4,2,1,2,0,1,2,4,1,0,0,2,3,2,0,6,3,0,2,2,1,1,2,2,2,2,0,1,1,4,2,2,2,1,,2,0,3,0,7,3
59,41,44,144,5,M,1,3,1,1,2,1,0,4,3,1,2,2,4,4,,0,3,2,2,1,2,4,0,3,0,2,3,4,4,3,2,4,4,3,1,2,2,0,0,4,1,1,2,1,2,1,0,5,3,0,2,2,1,2,1,2,2,2,1,1,2,2,2,2,3,1,1,2,0,3,1,6,3
76,53,54,183,8,M,1,3,1,1,2,1,2,2,3,0,6,4,4,4,1,2,3,2,2,5,6,4,2,1,1,2,3,5,3,4,2,4,4,2,1,3,0,0,2,5,1,1,3,1,5,3,2,6,4,2,2,2,2,4,3,2,2,1,1,1,1,2,3,2,3,1,2,2,0,3,2,7,4
59,53,45,157,6,F,1,3,1,0,1,1,1,4,2,2,4,3,4,4,1,2,3,2,0,0,2,4,1,,1,2,2,3,5,3,2,4,4,3,1,3,2,1,2,5,1,1,0,2,3,4,3,6,3,1,2,2,0,2,2,1,1,1,,1,3,1,3,2,4,1,2,2,0,4,1,6,3
71,57,56,184,8,M,1,3,1,1,2,1,1,2,1,2,4,3,2,4,1,2,3,2,2,5,6,4,1,2,1,3,2,5,4,2,4,3,4,2,1,3,0,1,1,6,1,2,2,2,3,2,3,11,4,1,2,2,0,3,3,2,2,2,0,1,4,3,2,2,4,1,2,2,0,2,1,11,4
57,45,40,142,5,M,1,2,0,1,1,1,1,3,1,2,3,3,2,4,,0,3,0,2,4,2,4,0,2,1,1,2,4,7,3,2,3,4,1,1,2,1,0,2,2,1,1,0,2,0,4,2,10,4,0,1,2,0,2,1,2,0,2,0,1,1,1,2,2,4,1,2,1,1,1,0,9,4
58,36,33,127,4,F,1,2,1,1,0,1,2,3,2,2,5,3,4,4,,,2,0,1,3,3,4,0,2,1,1,2,4,4,2,0,4,3,2,0,1,0,1,1,4,1,1,,1,2,4,1,5,3,0,2,2,1,0,0,1,2,2,0,0,0,1,1,2,2,1,0,2,1,4,1,5,3
45,39,42,126,4,F,1,3,1,0,1,0,0,3,3,2,2,2,4,3,,0,2,0,0,0,4,3,1,1,1,0,3,2,3,3,1,2,1,1,1,3,2,0,2,4,1,1,0,2,4,1,2,5,3,0,2,2,1,2,4,0,1,2,0,1,2,2,3,2,2,0,2,2,1,3,1,4,3
64,40,42,146,5,F,1,3,1,1,1,1,2,2,1,1,3,2,4,4,1,2,3,0,1,3,4,4,2,0,1,3,2,6,5,3,1,2,4,2,1,3,0,0,3,4,1,1,0,1,1,1,2,7,3,0,2,2,1,2,3,0,1,2,1,1,1,1,3,2,3,1,2,0,0,4,1,6,3
71,45,41,157,6,M,1,3,1,1,0,1,2,2,2,1,4,3,4,4,,1,3,2,2,4,5,3,2,4,1,2,3,4,6,4,2,3,3,2,1,3,2,1,2,2,1,1,0,2,4,2,1,6,3,1,1,2,0,3,2,2,1,2,0,1,0,2,3,2,1,1,2,2,0,2,1,6,4
74,46,55,175,7,F,1,3,0,1,2,1,0,3,3,1,5,3,2,3,1,2,3,2,2,6,5,4,2,4,0,4,3,5,3,1,2,4,4,3,1,2,1,1,2,4,1,1,4,0,4,1,1,7,2,2,2,2,2,3,3,2,2,2,0,1,2,3,3,2,4,0,2,2,0,4,2,7,3
49,48,40,137,4,F,1,2,1,0,1,1,0,2,1,0,8,4,2,2,1,2,2,,1,0,4,4,0,2,1,2,,1,4,4,3,1,4,2,1,3,1,1,1,2,1,1,2,1,3,3,0,10,4,0,2,2,0,1,,2,0,1,,1,2,1,2,2,4,1,2,2,0,3,0,8,4
63,62,50,175,7,M,1,3,1,0,2,1,3,2,1,1,5,3,2,3,1,2,2,,2,3,5,3,1,2,1,2,3,3,5,5,2,4,4,2,1,3,2,1,2,4,1,0,4,2,4,3,2,12,4,0,2,2,2,3,3,2,0,2,1,1,2,2,3,2,2,1,2,2,1,5,1,6,3
68,49,58,175,7,M,1,3,1,1,2,1,3,5,0,2,3,3,4,4,1,2,3,1,0,3,3,4,1,2,1,3,3,4,4,3,4,4,4,2,1,3,2,0,2,5,1,1,0,2,0,4,1,7,3,0,2,2,2,4,2,2,3,2,1,1,4,2,3,2,4,1,2,2,0,1,2,10,4
34,34,24,92,2,F,1,3,1,0,2,,,,0,2,4,3,2,3,1,2,2,,0,0,2,2,0,,1,1,0,0,2,3,1,4,4,2,1,1,0,1,2,3,0,0,,1,3,0,1,4,3,0,2,0,0,,,1,1,1,1,1,1,0,1,2,4,0,0,2,1,0,0,3,3
43,39,35,117,3,F,1,3,1,0,0,0,0,2,2,1,5,3,2,2,1,2,2,0,1,1,2,2,1,3,1,2,0,0,3,2,1,3,3,2,1,3,0,0,1,4,0,0,1,1,3,1,1,9,3,0,2,0,0,1,0,2,2,0,1,1,2,1,2,2,2,0,,2,0,2,2,7,4
61,44,43,148,5,F,1,3,1,1,0,1,0,3,0,2,4,3,4,4,1,2,3,2,0,1,6,4,1,2,1,2,3,3,3,1,1,1,4,0,1,2,0,0,3,5,1,1,1,2,4,2,1,10,4,0,2,2,1,1,3,1,3,2,1,1,1,2,2,2,2,1,2,2,0,2,2,5,3
44,22,34,100,3,F,1,3,1,1,0,0,0,2,2,0,3,3,2,3,1,,3,,0,2,4,2,1,1,1,2,0,3,3,2,1,2,1,0,1,1,0,0,2,2,1,0,0,0,3,0,1,3,2,0,2,,0,2,0,0,2,1,1,0,1,2,1,2,3,1,,2,0,3,1,7,3
54,33,29,116,3,M,1,3,1,1,2,1,2,3,2,1,2,2,4,3,1,2,3,2,0,1,,3,2,2,0,2,3,2,3,1,1,3,4,1,1,3,1,0,1,,0,1,2,1,2,3,1,4,3,0,2,0,1,0,2,1,2,2,1,1,2,1,3,2,1,1,2,2,0,0,0,2,1
50,29,29,108,3,M,1,3,1,0,1,1,1,2,3,1,3,3,4,2,1,2,2,2,0,2,2,2,1,1,1,1,1,3,3,3,1,3,4,1,1,1,2,0,0,1,1,1,1,0,2,2,0,3,2,0,2,2,0,1,0,1,0,2,1,1,1,1,2,1,2,1,,2,0,1,1,5,2
55,61,53,169,7,F,1,2,1,1,1,1,2,2,2,2,4,3,2,3,,0,3,0,0,3,4,3,1,2,1,2,3,2,4,3,2,3,4,1,1,3,1,0,3,6,1,2,4,2,5,4,3,9,4,0,2,2,2,1,2,2,3,2,1,1,1,3,3,2,3,1,1,2,0,4,3,8,4
68,48,52,168,7,F,1,3,1,1,2,1,3,3,1,2,7,4,2,4,1,2,3,0,1,4,3,4,1,2,1,0,3,4,4,2,3,1,4,2,1,3,1,0,1,3,1,1,2,2,4,1,3,10,3,1,1,2,2,2,3,0,4,2,1,1,2,2,2,2,4,1,2,2,0,1,0,11,4
67,52,49,168,7,F,1,2,1,1,2,1,2,4,1,2,7,4,1,2,1,,2,2,0,6,4,3,2,2,1,1,,6,6,2,1,4,4,0,1,1,0,0,1,6,1,1,4,2,4,2,2,12,4,0,2,2,0,2,2,1,3,2,1,1,1,3,2,2,3,0,2,2,0,4,3,7,4
68,54,44,166,7,F,1,3,1,1,1,1,3,3,3,2,4,3,4,4,1,0,3,2,2,3,4,4,1,2,1,3,2,2,4,3,2,4,4,2,1,2,2,1,2,4,1,1,4,1,4,3,3,6,4,2,1,2,0,0,1,2,2,2,0,1,1,2,3,2,3,1,2,2,0,5,0,6,4
39,31,35,105,3,F,1,3,1,0,0,1,0,3,1,0,2,3,2,2,1,2,3,0,0,1,4,3,1,0,1,0,2,0,2,0,1,1,3,2,1,3,0,1,2,2,1,0,2,2,1,3,0,4,2,0,1,2,0,0,0,1,1,1,1,1,1,1,3,2,2,1,1,2,0,3,2,6,3
35,30,26,91,2,M,1,2,1,1,1,1,0,3,0,1,1,2,1,3,1,0,3,1,0,1,2,2,0,1,1,0,2,0,3,2,2,0,3,1,1,0,1,0,0,0,1,1,4,2,2,2,0,6,2,0,1,0,0,0,0,1,1,1,1,1,1,0,2,2,4,0,,2,0,2,1,4,2
61,54,53,168,7,F,1,2,1,1,1,0,1,4,2,0,5,3,4,2,1,2,3,2,0,2,4,3,2,,1,2,1,5,6,2,2,3,4,2,1,3,2,1,2,5,1,2,0,1,4,2,3,10,4,2,2,2,2,2,4,1,3,1,1,1,3,2,3,2,3,0,2,2,0,2,2,8,3
78,52,46,176,7,F,1,3,1,1,1,1,0,5,3,2,5,3,4,4,1,2,2,2,0,6,5,4,2,1,1,3,3,6,6,0,1,3,4,2,1,2,1,1,1,5,1,1,3,2,3,4,2,11,4,0,2,2,1,1,0,2,3,2,1,1,2,1,3,2,3,1,2,2,1,4,1,6,3
43,21,17,81,2,M,1,3,1,1,1,0,0,2,0,1,2,2,4,4,1,1,2,2,0,0,1,4,1,1,1,0,2,3,2,2,2,1,4,1,1,1,0,0,1,2,1,1,1,0,,3,0,0,0,0,1,,0,,,2,0,1,1,1,1,,0,2,1,1,,2,1,0,0,2,1
53,50,44,147,5,M,1,3,1,1,2,1,3,1,1,0,3,2,4,4,1,2,3,2,,0,3,3,0,1,1,0,3,3,4,2,3,2,4,2,1,3,2,0,2,4,1,1,3,0,4,1,2,10,3,0,2,2,0,3,0,2,2,1,1,1,0,3,3,2,3,1,2,2,0,4,1,6,3
24,14,16,54,1,M,1,2,1,0,,0,0,1,2,0,0,0,4,4,0,0,3,,0,1,1,1,0,,1,1,1,,,5,0,1,1,0,1,1,0,0,1,0,1,1,,1,0,0,1,,0,0,1,,,,,1,0,2,1,1,1,,2,1,2,1,,2,0,,1,0,0
59,42,44,145,5,F,1,3,1,0,2,0,2,3,2,1,5,3,2,1,1,2,2,0,0,3,3,3,1,2,1,4,3,5,3,0,1,2,4,2,1,2,0,0,2,4,1,1,1,2,4,2,2,8,3,0,2,2,0,3,5,0,1,2,1,1,1,2,2,2,3,0,2,2,1,3,0,5,4
54,51,37,142,5,M,1,3,1,1,1,1,0,1,3,2,3,2,4,3,1,2,3,2,0,3,3,2,1,2,0,2,2,2,3,5,4,4,4,1,1,3,1,2,2,3,1,1,0,2,3,1,0,10,3,0,,2,0,1,1,1,1,2,1,1,2,0,3,1,1,1,2,2,0,1,3,8,3
57,47,39,143,5,F,1,3,1,1,1,0,0,2,3,1,6,4,4,3,1,2,3,0,0,2,4,2,1,0,1,2,2,4,3,4,2,3,3,2,1,3,1,2,3,2,1,1,2,0,2,3,1,8,3,1,2,2,1,0,2,2,2,1,0,1,1,2,1,2,4,1,0,2,0,3,0,6,3
27,28,26,81,2,F,1,2,1,1,0,0,0,1,0,0,3,2,0,3,,0,2,1,0,1,2,0,0,1,0,0,3,2,1,2,1,4,3,1,0,1,0,0,1,2,1,0,1,0,2,0,1,5,3,0,,1,2,0,0,2,1,2,1,1,2,0,0,2,2,1,0,2,0,1,0,4,2
68,52,55,175,7,M,1,3,1,1,2,1,3,3,1,2,4,2,4,4,1,2,3,2,2,3,5,4,1,1,1,2,3,3,3,5,2,4,3,2,1,2,1,1,2,4,1,1,2,0,4,4,1,9,3,0,2,2,2,2,6,1,2,2,1,1,1,2,3,2,3,1,2,2,1,4,2,8,3
41,39,37,117,3,F,1,2,1,1,0,0,0,2,0,1,4,2,2,2,1,2,3,2,1,3,1,2,1,,1,0,2,1,3,2,1,2,4,2,1,3,0,0,1,3,0,2,,1,3,0,1,9,4,0,2,2,0,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,0,1,0,6,3
63,52,43,158,6,M,1,3,1,1,2,0,0,3,2,2,5,2,4,3,1,2,2,2,0,6,5,4,1,1,1,0,2,4,3,3,1,4,4,2,1,2,2,1,2,3,1,1,2,2,4,2,2,10,3,2,2,2,1,1,2,1,3,2,1,1,1,2,2,2,2,1,2,2,0,2,2,4,3
73,60,45,178,7,F,1,3,1,1,2,1,3,4,3,2,3,3,2,3,,1,3,0,2,4,5,4,2,4,1,4,3,5,3,1,3,4,4,3,1,2,2,2,2,5,1,1,4,2,3,4,1,11,4,0,2,1,0,2,4,1,2,2,1,1,1,1,3,2,4,0,2,2,0,4,0,7,3
69,56,45,170,7,F,1,3,1,1,0,1,0,4,2,2,4,3,4,3,1,2,3,2,1,5,6,4,0,2,1,2,3,4,4,3,2,4,4,3,1,3,0,1,1,4,1,2,4,2,4,4,3,7,3,1,2,2,1,3,0,2,1,1,1,1,2,2,3,2,3,1,2,2,0,4,0,6,3
31,22,18,71,2,M,1,3,0,0,0,0,0,2,0,0,4,2,2,2,,1,2,,,1,3,0,2,0,1,0,1,2,2,1,1,2,1,0,0,1,0,0,1,2,1,0,0,0,2,2,2,4,2,0,,0,0,0,0,1,0,0,1,1,1,,2,2,3,0,0,2,0,0,0,3,2
51,41,41,133,4,M,1,3,1,1,1,0,1,2,1,2,7,0,2,4,1,2,2,0,0,3,4,2,0,1,1,2,3,2,2,2,2,4,4,0,1,1,1,0,2,3,1,1,2,1,1,3,0,9,3,0,1,2,0,2,2,2,3,2,1,1,2,2,3,1,2,1,2,2,1,3,0,3,3
66,58,56,180,8,F,1,3,1,1,1,1,1,3,2,2,6,3,4,3,1,2,2,2,0,4,4,4,2,2,1,2,3,2,3,3,4,1,4,2,1,3,1,1,3,4,1,1,2,2,2,4,3,12,4,0,1,2,2,2,2,2,1,2,1,1,4,0,3,2,4,1,2,2,1,6,1,10,4
71,54,46,171,7,M,1,2,1,1,2,1,1,4,3,1,6,3,4,3,1,2,3,2,1,6,2,4,0,1,1,1,3,5,6,2,2,4,4,2,1,1,0,2,1,6,1,2,1,2,3,4,2,11,3,0,2,2,2,1,2,2,3,2,1,1,1,2,2,2,4,1,2,2,0,1,1,7,3
55,39,43,137,4,F,1,2,0,0,0,0,1,2,3,0,6,3,4,4,1,2,2,0,0,1,5,3,1,2,1,2,3,3,3,2,3,4,3,0,0,1,0,0,2,4,1,0,0,0,3,3,1,9,3,1,2,2,0,2,4,2,0,2,1,1,1,2,3,2,1,1,2,2,1,3,1,5,2
54,44,47,145,5,F,1,3,1,0,0,0,0,0,3,1,3,3,2,4,1,2,2,2,0,4,4,3,1,2,1,2,3,4,2,2,1,4,3,2,1,2,0,0,2,4,1,1,0,0,3,4,2,8,4,1,2,2,1,3,3,2,2,2,1,1,2,3,2,2,4,1,1,2,0,0,1,5,4
62,54,41,157,6,F,1,3,1,1,2,1,,4,2,1,6,2,2,2,1,2,2,2,0,2,3,4,1,1,1,3,3,5,4,3,3,3,3,2,1,2,2,1,3,5,1,0,0,1,2,4,2,12,4,1,1,2,0,1,3,1,1,1,1,1,3,1,3,2,3,0,2,0,0,4,2,5,3
42,40,39,121,3,F,1,3,1,1,1,1,1,2,0,0,3,3,4,1,1,2,2,1,0,0,2,2,1,0,1,2,1,1,4,1,4,2,4,1,1,2,0,0,2,4,0,0,0,1,3,3,0,9,3,0,1,2,1,1,0,2,3,2,1,1,1,1,2,2,4,1,1,2,1,1,0,6,3
51,37,34,122,3,F,1,3,1,0,1,0,0,3,2,2,4,3,2,3,1,0,2,2,2,1,4,4,1,0,1,2,2,1,3,3,0,4,4,1,1,1,0,1,2,3,1,0,1,1,4,2,0,6,2,0,2,2,1,1,0,2,0,1,1,1,1,0,3,2,3,1,2,2,0,2,0,4,3
38,29,30,97,3,F,1,2,1,0,0,1,4,2,2,1,2,2,2,3,1,0,2,0,0,0,2,1,1,,1,0,2,1,4,0,0,2,4,1,0,2,0,1,1,2,1,0,1,1,2,2,1,5,3,0,2,2,1,0,0,1,1,1,0,1,1,0,1,2,1,1,2,2,0,3,0,6,2
50,49,49,148,5,M,1,3,1,1,2,1,1,0,1,0,3,2,2,3,1,2,3,2,1,3,2,2,0,2,1,0,3,4,3,2,2,3,4,1,1,3,2,1,3,3,1,1,2,1,3,4,3,6,3,1,2,2,2,1,4,2,1,1,1,1,1,3,3,2,3,1,2,2,0,0,1,9,4
39,26,8,73,2,M,1,2,1,0,1,0,2,3,2,1,5,3,2,4,1,2,3,0,2,0,1,2,0,,1,0,,,,2,1,1,2,0,1,1,1,1,1,3,1,1,0,1,0,1,1,5,2,,,2,1,1,,0,1,0,1,1,0,,,,0,,,,0,1,,,
51,32,49,132,4,M,1,3,1,0,0,0,0,0,1,1,3,3,4,2,1,0,3,2,2,2,3,3,2,2,1,2,3,3,3,2,1,3,1,2,1,2,1,1,2,4,1,2,0,0,1,1,0,4,3,2,2,2,2,2,3,2,1,2,1,1,3,0,3,2,1,1,2,2,0,5,1,6,3
59,44,37,140,5,M,1,3,1,0,2,0,0,3,1,2,5,3,0,2,1,2,3,2,0,3,4,4,1,2,1,3,3,3,4,2,2,3,2,1,1,3,1,1,1,4,1,1,0,2,2,4,1,9,3,0,2,2,0,2,0,1,1,2,1,1,1,0,3,2,3,1,2,2,0,3,0,5,3
